"FECHA","Horas","O3","NO2","CO","SO2","PM-10","PM-2.5"
"05/05/2020",00:00:00,"0.029","0.007","3.720","0.001"," 39.765"," 19"
"05/05/2020",01:00:00,"0.035","0.004","3.700","0.001"," 39.765"," 18"
"05/05/2020",02:00:00,"0.043","0.011","3.690","0.001"," 39.765"," 32"
"05/05/2020",03:00:00,"0.036","0.004","3.680","0.001"," 39.765"," 31"
"05/05/2020",04:00:00,"0.035","0.005","3.670","0.001"," 39.765"," 36"
"05/05/2020",05:00:00,"0.031","0.005","3.670","0.001"," 39.765"," 31"
"05/05/2020",06:00:00,"0.018","0.006","3.660","0.001"," 39.765"," 33"
"05/05/2020",07:00:00,"0.013","0.006","3.660","0.001"," 39.765"," 32"
"05/05/2020",08:00:00,"0.007","0.012","3.660","0.001"," 39.765"," 41"
"05/05/2020",09:00:00,"0.014","0.004","3.660","0.001"," 39.765"," 33"
"05/05/2020",10:00:00,"0.032","0.011","3.660","0.001"," 39.765"," 33"
"05/05/2020",11:00:00,"0.053","0.005","3.660","0.001"," 39.765"," 34"
"05/05/2020",12:00:00,"0.074","0.011","3.670","0.001"," 39.765"," 27"
"05/05/2020",13:00:00,"0.091","0.004","3.680","0.001"," 39.765"," 25"
"05/05/2020",14:00:00,"0.096","0.004","3.700","0.001"," 39.765"," 27"
"05/05/2020",15:00:00,"0.099","0.001","3.730","0.001"," 39.765"," 22"
"05/05/2020",16:00:00,"0.086","0.003","3.760","0.001"," 39.765"," 18"
"05/05/2020",17:00:00,"0.081","0.011","3.790","0.001"," 39.765"," 22"
"05/05/2020",18:00:00,"0.081","0.011","3.810","0.001"," 39.765"," 24"
"05/05/2020",19:00:00,"0.061","0.005","3.820","0.001"," 39.765"," 20"
"05/05/2020",20:00:00,"0.038","0.006","3.810","0.001"," 39.765"," 24"
"05/05/2020",21:00:00,"0.040","0.005","3.800","0.001"," 39.765"," 24"
"05/05/2020",22:00:00,"0.040","0.005","3.780","0.001"," 39.765"," 16"
"05/05/2020",23:00:00,"0.042","0.011","3.740","0.001"," 39.765"," 18"
"06/05/2020",00:00:00,"0.054","0.001","3.710","0.001"," 39.765"," 19"
"06/05/2020",01:00:00,"0.059","0.004","3.680","0.001"," 39.765"," 18"
"06/05/2020",02:00:00,"0.054","0.011","3.650","0.001"," 39.765","  9"
"06/05/2020",03:00:00,"0.043","0.003","3.630","0.001"," 39.765"," 11"
"06/05/2020",04:00:00,"0.037","0.002","3.620","0.001"," 39.765","  8"
"06/05/2020",05:00:00,"0.037","0.006","3.610","0.001"," 39.765","  5"
"06/05/2020",06:00:00,"0.022","0.007","3.600","0.001"," 39.765"," 13"
"06/05/2020",07:00:00,"0.021","0.002","3.590","0.001"," 39.765","  8"
"06/05/2020",08:00:00,"0.013","0.008","3.580","0.001"," 39.765"," 20"
"06/05/2020",09:00:00,"0.019","0.011","3.580","0.001"," 39.765"," 17"
"06/05/2020",10:00:00,"0.040","0.005","3.580","0.001"," 39.765"," 16"
"06/05/2020",11:00:00,"0.052","0.005","3.590","0.001"," 39.765"," 20"
"06/05/2020",12:00:00,"0.067","0.011","3.600","0.001"," 39.765"," 10"
"06/05/2020",13:00:00,"0.024","0.011","3.610","0.001"," 39.765"," 10"
"06/05/2020",14:00:00,"0.080","0.001","3.620","0.001"," 39.765","  3"
"06/05/2020",15:00:00,"0.069","0.011","3.650","0.001"," 39.765","  7"
"06/05/2020",16:00:00,"0.071","0.002","3.670","0.001"," 39.765"," 19"
"06/05/2020",17:00:00,"0.024","0.011","3.680","0.001"," 39.765"," 19"
"06/05/2020",18:00:00,"0.024","0.011","2.402","0.001"," 39.765"," 16.387"
"06/05/2020",19:00:00,"0.024","0.011","2.402","0.001"," 39.765"," 16.387"
"06/05/2020",20:00:00,"0.024","0.011","2.402","0.001"," 39.765"," 16.387"
"06/05/2020",21:00:00,"0.024","0.011","2.402","0.001"," 39.765"," 16.387"
"06/05/2020",22:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
"06/05/2020",23:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
"07/05/2020",00:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
"07/05/2020",01:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
"07/05/2020",02:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
"07/05/2020",03:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
"07/05/2020",04:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
"07/05/2020",05:00:00,"0.024","0.011","2.402","0.002"," 39.765"," 16.387"
