FECHA,Horas,O3,NO2,CO,SO2,PM-10,PM-2.5,,,,,,
01/01/2024,00:00:00,2,18,10,4,51,75.733,Buena,Buena,Buena,Buena,Regular,Regular
01/01/2024,01:00:00,1,17,12,4,57,75.733,Buena,Buena,Buena,Buena,Regular,Regular
01/01/2024,02:00:00,2,17,13,4,67,75.733,Buena,Buena,Buena,Buena,Regular,Regular
01/01/2024,03:00:00,2,17,14,4,80,75.733,Buena,Buena,Buena,Buena,Regular,Regular
01/01/2024,04:00:00,3,17,15,4,91,75.733,Buena,Buena,Buena,Buena,Regular,Regular
01/01/2024,05:00:00,4,17,16,4,102,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,06:00:00,3,14,17,4,106,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,07:00:00,4,11,17,4,107,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,08:00:00,5,9,16,6,109,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,09:00:00,11,7,15,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,10:00:00,19,7,15,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,11:00:00,28,5,14,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,12:00:00,37,3,12,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,13:00:00,44,4,11,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,14:00:00,55,4,10,6,111,75.733,Regular,Buena,Buena,Buena,Mala,Regular
01/01/2024,15:00:00,44,3,8,6,111,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,16:00:00,42,3,7,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,17:00:00,38,3,6,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,18:00:00,36,3,6,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,19:00:00,34,5,6,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,20:00:00,27,10,6,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,21:00:00,11,19,6,6,111,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,22:00:00,13,13,6,6,111,75.733,Buena,Buena,Buena,Buena,Mala,Regular
01/01/2024,23:00:00,11,15,7,6,110,75.733,Buena,Buena,Buena,Buena,Mala,Regular
02/01/2024,00:00:00,11,15,7,6,108,75.733,Buena,Buena,Buena,Buena,Mala,Regular
02/01/2024,01:00:00,11,13,8,6,107,75.733,Buena,Buena,Buena,Buena,Mala,Regular
02/01/2024,02:00:00,18,8,8,6,105,75.733,Buena,Buena,Buena,Buena,Mala,Regular
02/01/2024,03:00:00,14,8,8,6,102,75.733,Buena,Buena,Buena,Buena,Mala,Regular
02/01/2024,04:00:00,11,9,8,6,94,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,05:00:00,13,7,8,4,78,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,06:00:00,5,10,7,4,67,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,07:00:00,1,13,7,4,58,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,08:00:00,1,14,7,4,54,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,09:00:00,3,14,7,4,51,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,10:00:00,7,15,8,4,45,75.733,Buena,Buena,Buena,Buena,Buena,Regular
02/01/2024,11:00:00,13,18,8,4,51,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,12:00:00,29,6,9,4,52,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,13:00:00,29,3,9,4,52,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,14:00:00,31,3,8,4,51,75.733,Buena,Buena,Buena,Buena,Regular,Regular
02/01/2024,15:00:00,31,3,8,4,51,75.733,Buena,Buena,Buena,Buena,Regular,Regular
