"Fecha","Horas","O3","NO2","CO","SO2","PM.10","PM.2.5","Categoria_O3","Categoria_NO2","Categoria_CO","Categoria_SO2","Categoria_PM.10","Categoria_PM.2.5"
"01/01/2024","00:00",4,19,10,4,83.482,55,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2024","01:00",6,16,11,4,83.482,58,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2024","02:00",5,17,12,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2024","03:00",4,18,13,4,83.482,70,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2024","04:00",4,17,14,4,83.482,81,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2024","05:00",5,17,15,4,83.482,91,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2024","06:00",5,15,15,4,83.482,106,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","07:00",6,12,14,4,83.482,112,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","08:00",6,10,13,4,83.482,116,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","09:00",12,10,13,4,83.482,120,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","10:00",22,8,12,4,83.482,122,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","11:00",31,6,11,4,83.482,122,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","12:00",40,4,10,4,83.482,123,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","13:00",53,5,8,4,83.482,123,"Regular","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","14:00",55,5,7,4,83.482,123,"Regular","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","15:00",44,4,6,4,83.482,124,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","16:00",43,4,5,4,83.482,124,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","17:00",39,4,4,4,83.482,125,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","18:00",37,5,4,4,83.482,123,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","19:00",36,6,4,4,83.482,123,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","20:00",27,11,4,4,83.482,123,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","21:00",11,20,5,4,83.482,124,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","22:00",14,14,5,4,83.482,124,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2024","23:00",16,13,6,4,83.482,124,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","00:00",19,11,6,4,83.482,123,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","01:00",20,9,6,4,83.482,122,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","02:00",18,10,6,4,83.482,120,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","03:00",18,9,6,4,83.482,116,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","04:00",15,9,6,4,83.482,109,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","05:00",16,8,5,4,83.482,104,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2024","06:00",6,13,5,4,83.482,90,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","07:00",4,15,5,4,83.482,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","08:00",4,14,6,4,83.482,73,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","09:00",5,16,7,4,83.482,69,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","10:00",10,17,7,4,83.482,66,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","11:00",17,17,8,4,83.482,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","12:00",31,6,8,4,83.482,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","13:00",31,5,8,4,83.482,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","14:00",33,4,8,4,83.482,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","15:00",34,4,8,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","16:00",33,5,7,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","17:00",31,5,6,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","18:00",31,6,5,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","19:00",23,10,4,4,83.482,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","20:00",14,18,5,4,83.482,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","21:00",9,20,6,4,83.482,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2024","22:00",4,62,7,4,83.482,60,"Buena","Regular","Buena","Buena","Regular","Regular"
"02/01/2024","23:00",4,61,8,4,83.482,61,"Buena","Regular","Buena","Buena","Regular","Regular"
"03/01/2024","00:00",4,20,9,4,83.482,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2024","01:00",4,19,9,4,83.482,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2024","02:00",4,18,10,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2024","03:00",4,17,10,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2024","04:00",4,17,11,4,83.482,63,"Buena","Buena","Buena","Buena","Regular","Regular"
