"FECHA","Horas","O3","NO2","CO","SO2","PM-10","PM-2.5"
"05/05/2020",00:00:00,"0.031","0.015","1.880","0.001"," 43.183","13.414"
"05/05/2020",01:00:00,"0.031","0.014","1.870","0.001"," 43.183","13.414"
"05/05/2020",02:00:00,"0.029","0.015","1.860","0.001"," 43.183","13.414"
"05/05/2020",03:00:00,"0.025","0.017","1.850","0.001"," 43.183","13.414"
"05/05/2020",04:00:00,"0.029","0.013","1.830","0.001"," 43.183","13.414"
"05/05/2020",05:00:00,"0.023","0.015","1.820","0.001"," 43.183","13.414"
"05/05/2020",06:00:00,"0.016","0.017","1.800","0.001"," 43.183","13.414"
"05/05/2020",07:00:00,"0.014","0.020","1.810","0.001"," 43.183","13.414"
"05/05/2020",08:00:00,"0.005","0.027","1.840","0.001"," 43.183","13.414"
"05/05/2020",09:00:00,"0.007","0.028","1.900","0.001"," 43.183","13.414"
"05/05/2020",10:00:00,"0.018","0.026","1.950","0.001"," 43.183","13.414"
"05/05/2020",11:00:00,"0.040","0.018","1.980","0.001"," 43.183","13.414"
"05/05/2020",12:00:00,"0.060","0.014","2.010","0.001"," 43.183","13.414"
"05/05/2020",13:00:00,"0.072","0.013","2.030","0.001"," 43.183","13.414"
"05/05/2020",14:00:00,"0.075","0.012","2.050","0.001"," 43.183","13.414"
"05/05/2020",15:00:00,"0.084","0.012","2.050","0.001"," 43.183","13.414"
"05/05/2020",16:00:00,"0.078","0.012","2.030","0.001"," 43.183","13.414"
"05/05/2020",17:00:00,"0.067","0.013","1.990","0.001"," 43.183","13.414"
"05/05/2020",18:00:00,"0.066","0.014","1.970","0.001"," 43.183","13.414"
"05/05/2020",19:00:00,"0.055","0.012","1.940","0.001"," 43.183","13.414"
"05/05/2020",20:00:00,"0.031","0.018","1.930","0.001"," 43.183","13.414"
"05/05/2020",21:00:00,"0.029","0.016","1.910","0.001"," 43.183","13.414"
"05/05/2020",22:00:00,"0.026","0.016","1.900","0.001"," 43.183","13.414"
"05/05/2020",23:00:00,"0.025","0.015","1.880","0.001"," 43.183","13.414"
"06/05/2020",00:00:00,"0.031","0.012","1.860","0.001"," 43.183","13.414"
"06/05/2020",01:00:00,"0.033","0.011","1.830","0.001"," 43.183","13.414"
"06/05/2020",02:00:00,"0.026","0.013","1.790","0.001"," 43.183","13.414"
"06/05/2020",03:00:00,"0.020","0.016","1.780","0.001"," 43.183","13.414"
"06/05/2020",04:00:00,"0.021","0.015","1.750","0.001"," 43.183","13.414"
"06/05/2020",05:00:00,"0.021","0.015","1.730","0.001"," 43.183","13.414"
"06/05/2020",06:00:00,"0.014","0.016","1.730","0.001"," 43.183","13.414"
"06/05/2020",07:00:00,"0.011","0.018","1.720","0.001"," 43.183","13.414"
"06/05/2020",08:00:00,"0.004","0.023","1.770","0.001"," 43.183","13.414"
