"FECHA","Horas","O3","NO2","CO","SO2","PM.10","PM.2.5","Categoria_O3","Categoria_NO2","Categoria_CO","Categoria_SO2","Categoria_PM.10","Categoria_PM.2.5"
"01/01/2023","00:00",22.032,7.771,26,2.722,63,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2023","01:00",22.032,7.771,28,2.722,71,85,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2023","02:00",22.032,7.771,30,2.722,81,94,"Buena","Buena","Buena","Buena","Regular","Regular"
"01/01/2023","03:00",22.032,7.771,30,2.722,88,104,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2023","04:00",22.032,7.771,30,2.722,93,107,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2023","05:00",22.032,7.771,30,2.722,99,108,"Buena","Buena","Buena","Buena","Regular","Mala"
"01/01/2023","06:00",22.032,7.771,29,2.722,102,111,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","07:00",22.032,7.771,29,2.722,105,115,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","08:00",22.032,7.771,28,2.722,106,118,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","09:00",2,7.771,27,2.722,106,119,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","10:00",10,7.771,26,2.722,107,120,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","11:00",19,7.771,25,2.722,107,122,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","12:00",24,7.771,24,2.722,107,124,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","13:00",26,7.771,23,2.722,107,124,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","14:00",21,7.771,22,2.722,107,127,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","15:00",20,7.771,21,2.722,107,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","16:00",21,7.771,20,2.722,107,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","17:00",20,7.771,19,2.722,106,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","18:00",16,7.771,18,2.722,106,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","19:00",10,7.771,19,2.722,106,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","20:00",8,7.771,19,2.722,106,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","21:00",6,7.771,19,2.722,106,126,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","22:00",3,7.771,20,2.722,105,125,"Buena","Buena","Buena","Buena","Mala","Mala"
"01/01/2023","23:00",22.032,7.771,21,2.722,102,122,"Buena","Buena","Buena","Buena","Mala","Mala"
"02/01/2023","00:00",3,7.771,21,2.722,101,115,"Buena","Buena","Buena","Buena","Mala","Mala"
"02/01/2023","01:00",4,7.771,22,2.722,93,110,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2023","02:00",2,7.771,23,2.722,83,104,"Buena","Buena","Buena","Buena","Regular","Mala"
"02/01/2023","03:00",22.032,7.771,23,2.722,77,94,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","04:00",22.032,7.771,23,2.722,73,88,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","05:00",22.032,7.771,23,2.722,67,82,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","06:00",22.032,7.771,23,2.722,60,75,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","07:00",22.032,7.771,23,2.722,52,69,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","08:00",22.032,7.771,23,2.722,45,64,"Buena","Buena","Buena","Buena","Buena","Regular"
"02/01/2023","09:00",1,7.771,25,2.722,51,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","10:00",4,7.771,25,2.722,51,58,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","11:00",12,7.771,24,2.722,52,60,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","12:00",18,7.771,24,2.722,54,60,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","13:00",19,7.771,24,2.722,54,60,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","14:00",18,7.771,23,2.722,55,58,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","15:00",22.032,7.771,23,2.722,57,60,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","16:00",19,7.771,22,2.722,60,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","17:00",18,7.771,20,2.722,61,60,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","18:00",16,7.771,19,2.722,63,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","19:00",10,7.771,19,2.722,63,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","20:00",4,7.771,20,2.722,64,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","21:00",4,7.771,21,2.722,65,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","22:00",5,7.771,21,2.722,65,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"02/01/2023","23:00",22.032,7.771,22,2.722,67,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","00:00",5,7.771,22,2.722,64,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","01:00",11,7.771,22,2.722,61,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","02:00",11,7.771,22,2.722,60,60,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","03:00",11,7.771,21,2.722,57,60,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","04:00",22.032,7.771,21,2.722,57,58,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","05:00",22.032,7.771,22,2.722,60,58,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","06:00",22.032,7.771,22,2.722,61,61,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","07:00",22.032,7.771,23,2.722,64,63,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","08:00",22.032,7.771,24,2.722,65,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","09:00",1,7.771,25,2.722,65,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","10:00",4,7.771,26,2.722,65,66,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","11:00",11,7.771,26,2.722,65,66,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","12:00",19,7.771,27,2.722,67,66,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","13:00",22,7.771,25,2.722,68,66,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","14:00",23,7.771,24,2.722,67,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","15:00",24,7.771,23,2.722,65,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","16:00",27,7.771,21,2.722,65,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","17:00",25,7.771,20,2.722,65,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","18:00",19,7.771,20,2.722,65,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","19:00",9,7.771,20,2.722,65,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","20:00",1,7.771,20,2.722,67,64,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","21:00",22.032,7.771,22,2.722,68,66,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","22:00",22.032,7.771,23,2.722,73,66,"Buena","Buena","Buena","Buena","Regular","Regular"
"03/01/2023","23:00",22.032,7.771,25,2.722,80,69,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","00:00",22.032,7.771,26,2.722,84,73,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","01:00",22.032,7.771,28,2.722,87,75,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","02:00",22.032,7.771,28,2.722,91,76,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","03:00",22.032,7.771,28,2.722,94,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","04:00",22.032,7.771,28,2.722,97,82,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","05:00",22.032,7.771,27,2.722,96,82,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","06:00",22.032,7.771,26,2.722,93,81,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","07:00",22.032,7.771,25,2.722,90,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","08:00",22.032,7.771,24,2.722,88,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","09:00",4,7.771,23,2.722,87,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","10:00",11,7.771,23,2.722,86,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","11:00",22,7.771,22,2.722,86,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","12:00",27,7.771,21,2.722,84,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","13:00",34,7.771,21,2.722,84,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","14:00",41,7.771,21,4,86,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","15:00",40,7.771,21,4,86,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","16:00",36,7.771,20,4,86,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","17:00",36,7.771,20,4,86,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","18:00",33,7.771,19,4,87,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","19:00",20,7.771,20,4,90,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","20:00",8,7.771,20,4,91,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","21:00",12,7.771,21,4,91,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","22:00",12,7.771,21,4,88,79,"Buena","Buena","Buena","Buena","Regular","Regular"
"04/01/2023","23:00",5,7.771,21,4,83,78,"Buena","Buena","Buena","Buena","Regular","Regular"
"05/01/2023","00:00",7,7.771,21,2.722,78,76,"Buena","Buena","Buena","Buena","Regular","Regular"
"05/01/2023","01:00",6,7.771,22,2.722,77,76,"Buena","Buena","Buena","Buena","Regular","Regular"
